"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorEqual.category record1Value","[0] StringAttributeComparatorEqual.category record2Value","[0] StringAttributeComparatorEqual.category record1PreprocessedValue","[0] StringAttributeComparatorEqual.category record2PreprocessedValue","[0] StringAttributeComparatorEqual.category similarity","[0] StringAttributeComparatorEqual.category postproccesedSimilarity","[1] StringListAttributeComparatorLevenshtein.commonNames record1Value","[1] StringListAttributeComparatorLevenshtein.commonNames record2Value","[1] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[1] StringListAttributeComparatorLevenshtein.commonNames similarity","[1] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[2] StringListAttributeComparatorLevenshtein.orders record1Value","[2] StringListAttributeComparatorLevenshtein.orders record2Value","[2] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[2] StringListAttributeComparatorLevenshtein.orders similarity","[2] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.families record1Value","[3] StringListAttributeComparatorLevenshtein.families record2Value","[3] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.families similarity","[3] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO44151","http://www.wikidata.org/entity/q2105530","0.298",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[triaspis flavipalpis]","[none]","[triaspis flavipalpis]","0.0","0.0","[orthoptera]","[hymenoptera]","[orthoptera]","[hymenoptera]","0.5454545454545454","0.5454545454545454","[trigonidiidae]","[braconidae]","[trigonidiidae]","[braconidae]","0.5384615384615384","0.5384615384615384"
"WekaMatchingRule","BIO31315","http://www.wikidata.org/entity/q2066871","0.94",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[paraxenoda biru]","[none]","[paraxenoda biru]","0.1333333333333333","0.1333333333333333","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[hydrophilidae]","[leaf beetle]","[hydrophilidae]","[leaf beetle]","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","BIO21159","http://www.wikidata.org/entity/q748276","0.1",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[hydromanicus frater]","[none]","[hydromanicus frater]","0.1578947368421053","0.1578947368421053","[coleoptera]","[trichoptera]","[coleoptera]","[trichoptera]","0.5454545454545454","0.5454545454545454","[hydraenidae]","[hydropsychidae]","[hydraenidae]","[hydropsychidae]","0.5714285714285714","0.5714285714285714"
"WekaMatchingRule","BIO34335","http://www.wikidata.org/entity/q1087772","0.9987543424317618","1","Bird","Bird","Bird","Bird","1.0","1.0","[mckay s bunting]","[mckay s bunting]","[mckay s bunting]","[mckay s bunting]","1.0","1.0","[passeriformes]","[passeriformes, saurischia, dinosaur, avetheropoda]","[passeriformes]","[passeriformes, saurischia, dinosaur, avetheropoda]","1.0","1.0","[calcariidae]","[emberizidae]","[calcariidae]","[emberizidae]","0.4545454545454546","0.4545454545454546"
"WekaMatchingRule","BIO36259","http://www.wikidata.org/entity/q2156247","0.34",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[psylliodes wrasei]","[none]","[psylliodes wrasei]","0.11764705882352944","0.11764705882352944","[diptera]","[coleoptera]","[diptera]","[coleoptera]","0.5","0.5","[psychodidae]","[leaf beetle]","[psychodidae]","[leaf beetle]","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","BIO13544","http://www.wikidata.org/entity/q1822700","0.6333333333333333",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[dichochrysa rubra]","[none]","[dichochrysa rubra]","0.05882352941176472","0.05882352941176472","[coleoptera]","[neuroptera]","[coleoptera]","[neuroptera]","0.6","0.6","[carabidae]","[chrysopidae]","[carabidae]","[chrysopidae]","0.5454545454545454","0.5454545454545454"
"WekaMatchingRule","BIO13163","http://www.wikidata.org/entity/q2184449","0.42",,"Insect","Insect","Insect","Insect","1.0","1.0","[mountain pine beetle]","[dendrosotinus albopilosus]","[mountain pine beetle]","[dendrosotinus albopilosus]","0.19999999999999996","0.19999999999999996","[coleoptera]","[hymenoptera]","[coleoptera]","[hymenoptera]","0.6363636363636364","0.6363636363636364","[curculionidae]","[braconidae]","[curculionidae]","[braconidae]","0.5384615384615384","0.5384615384615384"
"WekaMatchingRule","BIO02383","http://www.wikidata.org/entity/q2175962",,"0","Vascular Plant","Invertebrate","Vascular Plant","Invertebrate","0.0","0.0","[geyer s pussytoes, pinewood or geyer s pussytoes, geyer s everlasting]","[eupolyodontes cornishii]","[geyer s pussytoes, pinewood or geyer s pussytoes, geyer s everlasting]","[eupolyodontes cornishii]","0.2068965517241379","0.2068965517241379","[asterales]","[phyllodocida]","[asterales]","[phyllodocida]","0.0","0.0","[asteraceae]","[acoetidae]","[asteraceae]","[acoetidae]","0.4","0.4"
"WekaMatchingRule","BIO13748","http://www.wikidata.org/entity/q819173","0.06",,"Nonvascular Plant","Nonvascular Plant","Nonvascular Plant","Nonvascular Plant","1.0","1.0","[dicranum moss]","[montane dicranum moss, dicranum montanum]","[dicranum moss]","[montane dicranum moss, dicranum montanum]","0.6470588235294117","0.6470588235294117","[dicranales]","[dicranales]","[dicranales]","[dicranales]","1.0","1.0","[dicranaceae]","[dicranaceae]","[dicranaceae]","[dicranaceae]","1.0","1.0"
"WekaMatchingRule","BIO41699","http://www.wikidata.org/entity/q2040153","0.05",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[stenopsyche uncinata]","[none]","[stenopsyche uncinata]","0.15000000000000002","0.15000000000000002","[ephemeroptera]","[trichoptera]","[ephemeroptera]","[trichoptera]","0.46153846153846156","0.46153846153846156","[heptageniidae]","[stenopsychidae]","[heptageniidae]","[stenopsychidae]","0.3571428571428571","0.3571428571428571"
"WekaMatchingRule","BIO06671","http://www.wikidata.org/entity/q1375892","0.93",,"Insect","Insect","Insect","Insect","1.0","1.0","[moss elfin, moss  elfin]","[callionima acuta]","[moss elfin, moss  elfin]","[callionima acuta]","0.125","0.125","[lepidoptera]","[lepidoptera]","[lepidoptera]","[lepidoptera]","1.0","1.0","[lycaenidae]","[sphingidae]","[lycaenidae]","[sphingidae]","0.4","0.4"
"WekaMatchingRule","BIO35924","http://www.wikidata.org/entity/q2184200","0.29",,"Insect","Insect","Insect","Insect","1.0","1.0","[none]","[pseudanaesthetis langana]","[none]","[pseudanaesthetis langana]","0.08333333333333337","0.08333333333333337","[diptera]","[coleoptera]","[diptera]","[coleoptera]","0.5","0.5","[chironomidae]","[cerambycidae]","[chironomidae]","[cerambycidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO40630","http://www.wikidata.org/entity/q2149271","0.03",,"Invertebrate","Invertebrate","Invertebrate","Invertebrate","1.0","1.0","[sun stars]","[solmaris flavescens]","[sun stars]","[solmaris flavescens]","0.21052631578947367","0.21052631578947367","[valvatida]","[narcomedusae]","[valvatida]","[narcomedusae]","0.25","0.25","[solasteridae]","[solmarisidae]","[solasteridae]","[solmarisidae]","0.5833333333333333","0.5833333333333333"
"WekaMatchingRule","BIO10185","http://www.wikidata.org/entity/q2079766","0.27","0","Fungi","Fungi","Fungi","Fungi","1.0","1.0","[reindeer moss]","[cladonia stellaris]","[reindeer moss]","[cladonia stellaris]","0.16666666666666663","0.16666666666666663","[lecanorales]","[lecanorales]","[lecanorales]","[lecanorales]","1.0","1.0","[cladoniaceae]","[cladoniaceae]","[cladoniaceae]","[cladoniaceae]","1.0","1.0"
"WekaMatchingRule","BIO02045","http://www.wikidata.org/entity/q1817753",,"0","Insect","Insect","Insect","Insect","1.0","1.0","[least skipperling, least skipper]","[trematopygodes mactator]","[least skipperling, least skipper]","[trematopygodes mactator]","0.17391304347826086","0.17391304347826086","[lepidoptera]","[hymenoptera]","[lepidoptera]","[hymenoptera]","0.5454545454545454","0.5454545454545454","[hesperiidae]","[ichneumonidae]","[hesperiidae]","[ichneumonidae]","0.3846153846153846","0.3846153846153846"
"WekaMatchingRule","BIO23112","http://www.wikidata.org/entity/q373625","0.07",,"Fungi","Fungi","Fungi","Fungi","1.0","1.0","[none]","[laccaria bicolor]","[none]","[laccaria bicolor]","0.0625","0.0625","[russulales]","[agaricales]","[russulales]","[agaricales]","0.4","0.4","[russulaceae]","[hydnangiaceae]","[russulaceae]","[hydnangiaceae]","0.3846153846153846","0.3846153846153846"
"WekaMatchingRule","BIO43818","http://www.wikidata.org/entity/q2160758","0.58",,"Insect","Insect","Insect","Insect","1.0","1.0","[a ground beetle]","[tretothorax cleistostoma]","[a ground beetle]","[tretothorax cleistostoma]","0.16666666666666663","0.16666666666666663","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[carabidae]","[salpingidae]","[carabidae]","[salpingidae]","0.4545454545454546","0.4545454545454546"
