"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2Value","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record1PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames record2PreprocessedValue","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames similarity","[2] StringListAttributeAsWholeComparatorLevenshtein.commonNames postproccesedSimilarity","[3] StringListAttributeAsWholeComparatorJaccard.orders record1Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record2Value","[3] StringListAttributeAsWholeComparatorJaccard.orders record1PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders record2PreprocessedValue","[3] StringListAttributeAsWholeComparatorJaccard.orders similarity","[3] StringListAttributeAsWholeComparatorJaccard.orders postproccesedSimilarity","[4] StringListAttributeAsWholeComparatorJaccard.families record1Value","[4] StringListAttributeAsWholeComparatorJaccard.families record2Value","[4] StringListAttributeAsWholeComparatorJaccard.families record1PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families record2PreprocessedValue","[4] StringListAttributeAsWholeComparatorJaccard.families similarity","[4] StringListAttributeAsWholeComparatorJaccard.families postproccesedSimilarity","[5] StringListAttributeComparatorEqual.states record1Value","[5] StringListAttributeComparatorEqual.states record2Value","[5] StringListAttributeComparatorEqual.states record1PreprocessedValue","[5] StringListAttributeComparatorEqual.states record2PreprocessedValue","[5] StringListAttributeComparatorEqual.states similarity","[5] StringListAttributeComparatorEqual.states postproccesedSimilarity"
"WekaMatchingRule","BIO31617","ES1167","0.0",,"parthenice mollis","paroreomyza flammea","parthenice mollis","paroreomyza flammea","0.0","0.0","parthenice mollis","paroreomyza flammea","parthenice mollis","paroreomyza flammea","0.26315789473684215","0.26315789473684215","[molokai creeper]","[annual monsterwort]","[molokai creeper]","[annual monsterwort]","0.16666666666666663","0.16666666666666663",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO31123","ES611","0.9285714285714286","0","panicum fauriei var. latius","panicum fauriei var. carteri","panicum fauriei var. latius","panicum fauriei var. carteri","0.6","0.6","panicum fauriei var. latius","panicum fauriei var. carteri","panicum fauriei var. latius","panicum fauriei var. carteri","0.8214285714285714","0.8214285714285714","[carter s panicgrass]","[faurie s panicgrass]","[carter s panicgrass]","[faurie s panicgrass]","0.7894736842105263","0.7894736842105263",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO35152","ES757","0.0",,"polystichum bonseyi","polygonum hickmanii","polystichum bonseyi","polygonum hickmanii","0.0","0.0","polystichum bonseyi","polygonum hickmanii","polystichum bonseyi","polygonum hickmanii","0.3157894736842105","0.3157894736842105","[scotts valley polygonum]","[bonsey s hollyfern]","[scotts valley polygonum]","[bonsey s hollyfern]","0.21739130434782605","0.21739130434782605",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO33548","ES280","0.0",,"physcia neogaea","phyllostegia hirsuta","physcia neogaea","phyllostegia hirsuta","0.0","0.0","physcia neogaea","phyllostegia hirsuta","physcia neogaea","phyllostegia hirsuta","0.4","0.4","[no common name]","[rosette lichen]","[no common name]","[rosette lichen]","0.0714285714285714","0.0714285714285714",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO35026","ES757","0.3333333333333333",,"polygonum shastense","polygonum hickmanii","polygonum shastense","polygonum hickmanii","0.3333333333333333","0.3333333333333333","polygonum shastense","polygonum hickmanii","polygonum shastense","polygonum hickmanii","0.5789473684210527","0.5789473684210527","[scotts valley polygonum]","[shasta knotweed]","[scotts valley polygonum]","[shasta knotweed]","0.17391304347826086","0.17391304347826086",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO37116","ES1600","0.0",,"ranunculus flammula","rana chiricahuensis","ranunculus flammula","rana chiricahuensis","0.0","0.0","ranunculus flammula","rana chiricahuensis","ranunculus flammula","rana chiricahuensis","0.21052631578947367","0.21052631578947367","[creeping buttercup, greater creeping spearwort, spearwort buttercup]","[chiricahua leopard frog]","[creeping buttercup, greater creeping spearwort, spearwort buttercup]","[chiricahua leopard frog]","0.15105908584169456","0.15105908584169456",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO35541","ES1210",,"0","potomobius trowbridge","myadestes palmeri","potomobius trowbridge","myadestes palmeri","0.0","0.0","potomobius trowbridge","myadestes palmeri","potomobius trowbridge","myadestes palmeri","0.19047619047619047","0.19047619047619047","[small kauai ( puaiohi) thrush]","[western crayfish]","[small kauai ( puaiohi) thrush]","[western crayfish]","0.1724137931034483","0.1724137931034483",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO04198","ES636","0.9285714285714286",,"astragalus cremnophylax","astragalus tricarinatus","astragalus cremnophylax","astragalus tricarinatus","0.3333333333333333","0.3333333333333333","astragalus cremnophylax","astragalus tricarinatus","astragalus cremnophylax","astragalus tricarinatus","0.5217391304347826","0.5217391304347826","[sentry milkvetch, sentry milk vetch]","[triple ribbed milk vetch]","[sentry milkvetch, sentry milk vetch]","[triple ribbed milk vetch]","0.4791666666666667","0.4791666666666667",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO32512","ES1131","0.0",,"persicaria punctata","percina rex","persicaria punctata","percina rex","0.0","0.0","persicaria punctata","percina rex","persicaria punctata","percina rex","0.3157894736842105","0.3157894736842105","[knotweed, water smartweed, dotted smartweed]","[roanoke logperch]","[knotweed, water smartweed, dotted smartweed]","[roanoke logperch]","0.10416666666666667","0.10416666666666667",,,,,,,,,,,,,,,,,,
"WekaMatchingRule","BIO16748","ES14","0.0",,"erythronium rostratum","erysimum teretifolium","erythronium rostratum","erysimum teretifolium","0.0","0.0","erythronium rostratum","erysimum teretifolium","erythronium rostratum","erysimum teretifolium","0.2857142857142857","0.2857142857142857","[ben lomond wallflower]","[yellow trout lily]","[ben lomond wallflower]","[yellow trout lily]","0.23809523809523814","0.23809523809523814",,,,,,,,,,,,,,,,,,
