resource,superClass,super2Class,super3Class,super4Class,parentTaxon,parent2Taxon,parent3Taxon,parent4Taxon,taxonName,taxonCommonName,differentFrom,endemic,conservationStatus,resourceLabel,superClassLabel,super2ClassLabel,super3ClassLabel,super4ClassLabel,parentTaxonLabel,parent2TaxonLabel,parent3TaxonLabel,parent4TaxonLabel,taxonNameLabel,taxonCommonNameLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/Q1437201,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Forest Mountain,pig,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1437201,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Forest Mountain,pig,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1437201,http://www.wikidata.org/entity/Q787,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,Forest Mountain,pig,productive animal,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1441960,http://www.wikidata.org/entity/Q2934,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Yemen Mountain Goat,goat,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1441960,http://www.wikidata.org/entity/Q2934,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Yemen Mountain Goat,goat,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1441960,http://www.wikidata.org/entity/Q2934,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Yemen Mountain Goat,goat,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1441960,http://www.wikidata.org/entity/Q2934,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,Yemen Mountain Goat,goat,productive animal,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1465038,http://www.wikidata.org/entity/Q830,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Montbéliarde cattle,cattle,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1465038,http://www.wikidata.org/entity/Q830,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Montbéliarde cattle,cattle,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1465038,http://www.wikidata.org/entity/Q830,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Montbéliarde cattle,cattle,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1468737,http://www.wikidata.org/entity/Q3826230,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,,,,,,,,,,Dutch Warmblood,sport horse,horse,domesticated mammal,mammal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1468737,http://www.wikidata.org/entity/Q3826230,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,,,,,,,,,,Dutch Warmblood,sport horse,horse,domesticated mammal,domesticated animal,,,,,,,,,
http://www.wikidata.org/entity/Q1468737,http://www.wikidata.org/entity/Q3826230,http://www.wikidata.org/entity/Q726,http://www.wikidata.org/entity/Q165115,http://www.wikidata.org/entity/Q729,,,,,,,,,,Dutch Warmblood,sport horse,horse,Equidae,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q69301705,http://www.wikidata.org/entity/Q842175,http://www.wikidata.org/entity/Q105064135,,,,,,,,,,Ouessant,sheep,sheep,ruminant,Ungulata,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q57812559,,,,,,,,,,Ouessant,sheep,domesticated mammal,mammal living in captivity,animal living in captivity,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q57812611,http://www.wikidata.org/entity/Q7377,,,,,,,,,,Ouessant,sheep,domesticated mammal,mammal living in captivity,mammal,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q57814795,http://www.wikidata.org/entity/Q622852,http://www.wikidata.org/entity/Q729,,,,,,,,,,Ouessant,sheep,domesticated mammal,domesticated animal,animal,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q1797813,http://www.wikidata.org/entity/Q57812559,http://www.wikidata.org/entity/Q26401003,,,,,,,,,,Ouessant,sheep,productive animal,animal living in captivity,individual animal,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q159344,,,,,,,,,,Ouessant,sheep,herbivore,consumer,heterotroph,,,,,,,,,
http://www.wikidata.org/entity/Q1469688,http://www.wikidata.org/entity/Q7368,http://www.wikidata.org/entity/Q59099,http://www.wikidata.org/entity/Q72638,http://www.wikidata.org/entity/Q7239,,,,,,,,,,Ouessant,sheep,herbivore,consumer,organism,,,,,,,,,
