,Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
94,Chasmistes cujus,Cui-ui,Wherever found,8,Endangered,Fishes
95,Streptocephalus woottoni,Riverside fairy shrimp,Wherever found,8,Endangered,Crustaceans
96,Epicrates inornatus,Puerto Rican boa,Wherever found,4,Endangered,Reptiles
97,Drosophila ochrobasis,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
98,Anolis roosevelti,Culebra Island giant anole,Wherever found,4,Endangered,Reptiles
99,Noturus baileyi,Smoky madtom,Wherever found,4,Endangered,Fishes
100,Etheostoma wapiti,Boulder darter,Wherever found,4,Endangered,Fishes
101,Fulica americana alai,Hawaiian coot,Wherever found,1,Endangered,Birds
102,Erimonax monachus,Spotfin Chub,U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i)),4,"Experimental Population, Non-Essential",Fishes
103,Batrisodes venyivi,Helotes mold beetle,Wherever found,2,Endangered,Insects
104,Grus canadensis pulla,Mississippi sandhill crane,Wherever found,4,Endangered,Birds
105,Hylaeus anthracinus,Anthricinan yellow-faced bee,Wherever found,1,Endangered,Insects
106,Martes caurina,"Pacific Marten, Coastal Distinct Population Segment",Wherever found,8,Threatened,Mammals
107,Etheostoma okaloosae,Okaloosa darter,Wherever found,4,Threatened,Fishes
108,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,Wherever found,8,Endangered,Mammals
109,Pleurobema taitianum,Heavy pigtoe,Wherever found,4,Endangered,Clams
110,Partula gibba,Humped tree snail,Wherever found,1,Endangered,Snails
111,Percina aurora,Pearl darter,Wherever found,4,Threatened,Fishes
112,Strymon acis bartrami,Bartram's hairstreak Butterfly,Wherever found,4,Endangered,Insects
113,Batrachoseps aridus,Desert slender salamander,Wherever found,8,Endangered,Amphibians
114,Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Wherever found,8,Endangered,Birds
115,Etheostoma scotti,Cherokee darter,Wherever found,4,Threatened,Fishes
116,Gila robusta jordani,Pahranagat roundtail chub,Wherever found,8,Endangered,Fishes
117,Vetericaris chaceorum,Anchialine pool shrimp,Wherever found,1,Endangered,Crustaceans
118,Rhinichthys osculus nevadensis,Ash Meadows speckled dace,Wherever found,8,Endangered,Fishes
119,Etheostoma fonticola,Fountain darter,Wherever found,2,Endangered,Fishes
120,Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,Wherever found,8,Endangered,Mammals
121,Pseudocopaeodes eunus obscurus,Carson wandering skipper,Wherever found,8,Endangered,Insects
122,Crocodylus acutus,American crocodile,U.S.A. (FL),4,Threatened,Reptiles
123,Bombus franklini,Franklin's bumblebee,Wherever found,1,Endangered,Insects
124,Ptychobranchus subtentus,Fluted kidneyshell,Wherever found,4,Endangered,Clams
125,Graptemys flavimaculata,Yellow-blotched map turtle,Wherever found,4,Threatened,Reptiles
126,Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams
127,Margaritifera marrianae,Alabama pearlshell,Wherever found,4,Endangered,Clams
128,Elliptio steinstansana,Tar River spinymussel,Wherever found,4,Endangered,Clams
129,Quadrula fragosa,Winged Mapleleaf,U.S.A. (AL-specified portions of the Tennessee River; see 17.85(a)(1)),4,"Experimental Population, Non-Essential",Clams
