id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES717,Asclepias welshii,Welsh's milkweed,Wherever found,Mountain-Prairie,6,Threatened,Vascular Plant
ES600,Asimina tetramera,Four-petal pawpaw,Wherever found,Southeast,4,Endangered,Vascular Plant
ES844,Asplenium dielerectum,Asplenium-leaved diellia,Wherever found,Pacific,1,Endangered,Vascular Plant
ES707,Asplenium dielfalcatum,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES542,Asplenium diellaciniatum,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES107,Asplenium dielmannii,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES835,Asplenium dielpallidum,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES21,Asplenium peruvianum var. insulare,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES338,Asplenium scolopendrium var. americanum,American hart's-tongue fern,Wherever found,Northeast,5,Threatened,Vascular Plant
ES787,Asplenium unisorum,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1489,Assiminea pecos,Pecos assiminea snail,Wherever found,Southwest,2,Endangered,Slug/Snail
ES737,Astelia waialealae,Pa`iniu,Wherever found,Pacific,1,Endangered,Vascular Plant
ES592,Astragalus albens,Cushenbury milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES785,Astragalus ampullarioides,Shivwits milk-vetch,Wherever found,Mountain-Prairie,6,Endangered,Vascular Plant
ES706,Astragalus applegatei,Applegate's milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES482,Astragalus bibullatus,Guthrie's (=Pyne's) ground-plum,Wherever found,Southeast,4,Endangered,Vascular Plant
ES70,Astragalus brauntonii,Braunton's milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES471,Astragalus clarianus,Clara Hunt's milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES106,Astragalus cremnophylax var. cremnophylax,Sentry milk-vetch,Wherever found,Southwest,2,Endangered,Vascular Plant
ES269,Astragalus holmgreniorum,Holmgren milk-vetch,Wherever found,Mountain-Prairie,6,Endangered,Vascular Plant
ES743,Astragalus humillimus,Mancos milk-vetch,Wherever found,Southwest,2,Endangered,Vascular Plant
ES51,Astragalus jaegerianus,Lane Mountain milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES683,Astragalus lentiginosus var. coachellae,Coachella Valley milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES13,Astragalus lentiginosus var. piscinensis,Fish Slough milk-vetch,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES178,Astragalus magdalenae var. peirsonii,Peirson's milk-vetch,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES747,Astragalus montii,Heliotrope milk-vetch,Wherever found,Mountain-Prairie,6,Threatened,Vascular Plant
ES10,Astragalus osterhoutii,Osterhout milkvetch,Wherever found,Mountain-Prairie,6,Endangered,Vascular Plant
ES141,Astragalus phoenix,Ash meadows milk-vetch,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES668,Astragalus pycnostachyus var. lanosissimus,Ventura Marsh Milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES857,Astragalus robbinsii var. jesupi,Jesup's milk-vetch,Wherever found,Northeast,5,Endangered,Vascular Plant
ES214,Astragalus tener var. titi,Coastal dunes milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES636,Astragalus tricarinatus,Triple-ribbed milk-vetch,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES535,Astrophytum asterias,Star cactus,Wherever found,Southwest,2,Endangered,Vascular Plant
ES1224,Athearnia anthonyi,Anthony's riversnail,Wherever found; Except where listed as Experimental Populations,Southeast,4,Endangered,Slug/Snail
ES167,Atriplex coronata var. notatior,San Jacinto Valley crownscale,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES447,Auerodendron pauciflorum,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES352,Ayenia limitaris,Texas ayenia,Wherever found,Southwest,2,Endangered,Vascular Plant
ES515,Baccharis vanessae,Encinitas baccharis,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES437,Banara vanderbiltii,Palo de ramon,Wherever found,Southeast,4,Endangered,Vascular Plant
ES830,Baptisia arachnifera,Hairy rattleweed,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1051,Batrachoseps aridus,Desert slender salamander,Wherever found,Pacific Southwest,8,Endangered,Amphibian
ES1290,Batrisodes texanus,Coffin Cave mold beetle,Wherever found,Southwest,2,Endangered,Insect
ES1041,Batrisodes venyivi,Helotes mold beetle,Wherever found,Southwest,2,Endangered,Insect
ES162,Berberis nevinii,Nevin's barberry,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES609,Berberis pinnata ssp. insularis,Island Barberry,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES719,Betula uber,Virginia round-leaf birch,Wherever found,Northeast,5,Threatened,Vascular Plant
ES314,Bidens amplectens,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES176,Bidens campylotheca ssp. pentamera,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES4,Bidens campylotheca ssp. waihoiensis,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES29,Bidens conjuncta,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES61,Bidens hillebrandiana ssp. hillebrandiana,kookoolau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES617,Bidens micrantha ssp. ctenophylla,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES850,Bidens micrantha ssp. kalealaha,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES715,Bidens wiebkei,Ko`oko`olau,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1504,Bison bison athabascae,Wood Bison,Wherever found,Alaska,7,Threatened,Mammal
ES243,Blennosperma bakeri,Sonoma sunshine,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES1369,Boloria acrocnema,Uncompahgre fritillary butterfly,Wherever found,Mountain-Prairie,6,Endangered,Insect
ES794,Boltonia decurrens,Decurrent false aster,Wherever found,Midwest,3,Threatened,Vascular Plant
ES1148,Bombus affinis,Rusty patched bumble bee,Wherever found,Midwest,3,Endangered,Insect
ES1061,Bombus franklini,Franklin's bumblebee,Wherever found,Pacific,1,Endangered,Insect
ES929,Bonamia grandiflora,Florida bonamia,Wherever found,Southeast,4,Threatened,Vascular Plant
ES827,Bonamia menziesii,No common name,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1416,Brachylagus idahoensis,Columbia Basin Pygmy Rabbit,Columbia Basin DPS,Pacific,1,Endangered,Mammal
ES1233,Brachyramphus marmoratus,Marbled murrelet,"U.S.A. (CA, OR, WA)",Pacific,1,Threatened,Bird
ES1623,Branchinecta conservatio,Conservancy fairy shrimp,Wherever found,Pacific Southwest,8,Endangered,Crab/Lobster/Shrimp
ES1615,Branchinecta longiantenna,Longhorn fairy shrimp,Wherever found,Pacific Southwest,8,Endangered,Crab/Lobster/Shrimp
ES1253,Branchinecta lynchi,Vernal pool fairy shrimp,Wherever found,Pacific Southwest,8,Threatened,Crab/Lobster/Shrimp
ES1220,Branchinecta sandiegonensis,San Diego fairy shrimp,Wherever found,Pacific Southwest,8,Endangered,Crab/Lobster/Shrimp
ES1447,Branta (=Nesochen) sandvicensis,Hawaiian goose,Wherever found,Pacific,1,Threatened,Bird
ES384,Brickellia mosieri,Florida brickell-bush,Wherever found,Southeast,4,Endangered,Vascular Plant
ES300,Brighamia insignis,Olulu,Wherever found,Pacific,1,Endangered,Vascular Plant
ES337,Brighamia rockii,Pua `ala,Wherever found,Pacific,1,Endangered,Vascular Plant
ES891,Brodiaea filifolia,Thread-leaved brodiaea,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES645,Brodiaea pallida,Chinese Camp brodiaea,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES1588,Brychius hungerfordi,Hungerford's crawling water Beetle,Wherever found,Midwest,3,Endangered,Insect
ES1432,Bufo hemiophrys baxteri,Wyoming Toad,Wherever found,Mountain-Prairie,6,Endangered,Amphibian
ES1413,Bufo houstonensis,Houston toad,Wherever found,Southwest,2,Endangered,Amphibian
ES382,Bulbophyllum guamense,Cebello halumtano,Wherever found,Pacific,1,Threatened,Vascular Plant
ES1013,Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Wherever found,Southeast,4,Endangered,Bird
