"BIO05277","ES850","1.0"
"BIO14020","ES1514","0.96"
"BIO26487","ES1085","1.0"
"BIO38022","ES1653","1.0"
"BIO11309","ES825","0.96"
"BIO22790","ES339","0.95"
"BIO04234","ES178","0.93"
"BIO36766","ES1235","1.0"
"BIO37071","ES834","0.99"
"BIO27165","ES1427","0.98"
"BIO30092","ES1177","1.0"
"BIO22931","ES427","0.96"
"BIO19880","ES878","1.0"
"BIO31857","ES415","1.0"
"BIO16264","ES983","1.0"
"BIO21450","ES1505","0.94"
"BIO01765","ES1345","1.0"
"BIO27038","ES376","1.0"
"BIO18351","ES121","0.98"
"BIO36651","ES1104","1.0"
"BIO32251","ES549","1.0"
"BIO26889","ES393","0.93"
"BIO34126","ES699","1.0"
"BIO14385","ES1194","1.0"
"BIO23883","ES987","1.0"
"BIO05270","ES715","0.93"
"BIO03932","ES21","1.0"
"BIO31030","ES1314","1.0"
"BIO16185","ES340","1.0"
"BIO17021","ES1405","1.0"
"BIO22529","ES347","0.97"
"BIO12366","ES307","1.0"
"BIO18353","ES118","0.96"
"BIO39399","ES910","0.95"
"BIO18493","ES1625","0.99"
"BIO29472","ES1037","1.0"
"BIO29751","ES1606","0.96"
"BIO26982","ES1068","0.96"
"BIO04121","ES747","0.93"
"BIO26648","ES1581","0.99"
"BIO43426","ES658","0.98"
"BIO13176","ES1198","1.0"
"BIO41277","ES47","1.0"
"BIO16698","ES774","0.97"
"BIO36422","ES1362","0.93"
"BIO35382","ES232","1.0"
"BIO29247","ES183","1.0"
"BIO10056","ES657","0.94"
"BIO45383","ES1570","1.0"
"BIO42056","ES1656","1.0"
"BIO13080","ES483","0.96"
"BIO12700","ES958","1.0"
"BIO11316","ES455","0.94"
"BIO14882","ES386","0.93"
"BIO09889","ES1138","1.0"
"BIO04167","ES70","1.0"
"BIO24175","ES1344","1.0"
"BIO20086","ES138","1.0"
"BIO34095","ES1488","1.0"
"BIO23810","ES1343","0.98"
"BIO45466","ES1240","1.0"
"BIO09584","ES742","0.96"
"BIO26897","ES511","1.0"
