resource,family,class,order,taxonName,taxonCommonName,differentFrom,endemicTo,conservationStatus,resourceLabel,familyLabel,classLabel,orderLabel,differentFromLabel,endemicToLabel,conservationStatusLabel
http://www.wikidata.org/entity/q18867,http://www.wikidata.org/entity/q46360,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811']",http://www.wikidata.org/entity/q223044,,"['brazilian giant tortoise', 'south american yellow-footed tortoise', 'yellow-footed tortoise', 'forest tortoise', 'south american tortoise']",,,http://www.wikidata.org/entity/q278113,chelonoidis denticulata,testudinidae,"['dipnotetrapodomorpha', 'reptilia']",turtle,,,vulnerable
http://www.wikidata.org/entity/q18873,http://www.wikidata.org/entity/q18885,http://www.wikidata.org/entity/q182978,http://www.wikidata.org/entity/q206338,,,,,,cymothoa exigua,cymothoidae,malacostraca,isopoda,,,
http://www.wikidata.org/entity/q18875,"['http://www.wikidata.org/entity/q875769', 'http://www.wikidata.org/entity/q27589']","['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,common tern,,"['http://www.wikidata.org/entity/q1651774', 'http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q7260866', 'http://www.wikidata.org/entity/q26793770', 'http://www.wikidata.org/entity/q105964828', 'http://www.wikidata.org/entity/q106432462']",http://www.wikidata.org/entity/q211005,common tern,"['sterninae', 'laridae']","['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,"['rabindra sarobar', 'bakkhali', 'purbasthali', 'sunderbans wildlife national park', 'santragachi jheel', 'baidyabati dvc canal']",least concern
http://www.wikidata.org/entity/q18876,http://www.wikidata.org/entity/q26626,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q25978', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,great knot,,"['http://www.wikidata.org/entity/q4849475', 'http://www.wikidata.org/entity/q7260866']",http://www.wikidata.org/entity/q11394,great knot,scolopacidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'charadriiformes', 'saurischia', 'avetheropoda']",,"['bakkhali', 'purbasthali']",endangered
http://www.wikidata.org/entity/q18880,http://www.wikidata.org/entity/q187014,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q25341', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,"['silver-eared mesia', 'silver-eared leiothrix']",,"['http://www.wikidata.org/entity/q506511', 'http://www.wikidata.org/entity/q1815612', 'http://www.wikidata.org/entity/q839046', 'http://www.wikidata.org/entity/q2985193', 'http://www.wikidata.org/entity/q2340037', 'http://www.wikidata.org/entity/q2985788', 'http://www.wikidata.org/entity/q3471771', 'http://www.wikidata.org/entity/q2989157', 'http://www.wikidata.org/entity/q5252276', 'http://www.wikidata.org/entity/q6875597', 'http://www.wikidata.org/entity/q7125480', 'http://www.wikidata.org/entity/q5073423', 'http://www.wikidata.org/entity/q7161579', 'http://www.wikidata.org/entity/q7081983', 'http://www.wikidata.org/entity/q7310056', 'http://www.wikidata.org/entity/q15243705', 'http://www.wikidata.org/entity/q16895017', 'http://www.wikidata.org/entity/q22231355', 'http://www.wikidata.org/entity/q41166193', 'http://www.wikidata.org/entity/q105741437', 'http://www.wikidata.org/entity/q28173945']",http://www.wikidata.org/entity/q211005,leiothrix argentauris,sylviidae,"['dipnotetrapodomorpha', 'reptilia', 'bird']","['passeriformes', 'dinosaur', 'saurischia', 'avetheropoda']",,"['manas national park', 'namdapha national park', 'yuksom', 'singalila national park', 'buxa tiger reserve', 'neora valley national park', 'eaglenest wildlife sanctuary', 'nameri national park', 'dehing patkai national park', 'mishmi hills', 'pakhui tiger reserve', 'chapramari wildlife sanctuary', 'pelling', 'okhrey', 'reiek', 'mahananda wildlife sanctuary', 'mehao wildlife sanctuary', 'kamlang wildlife sanctuary', 'dzuleke', 'jeypore reserve forest', 'khonoma nature conservation and tragopan sanctuary']",least concern
http://www.wikidata.org/entity/q18922,http://www.wikidata.org/entity/q26381,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q183364', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q138921']",,thick-billed cuckoo,,,http://www.wikidata.org/entity/q211005,thick-billed cuckoo,cuculidae,"['reptilia', 'bird', 'dipnotetrapodomorpha']","['dinosaur', 'cuculiformes', 'saurischia', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18923,http://www.wikidata.org/entity/q26381,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q183364', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,mangrove cuckoo,,,http://www.wikidata.org/entity/q211005,mangrove cuckoo,cuculidae,"['bird', 'reptilia', 'dipnotetrapodomorpha']","['cuculiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18926,http://www.wikidata.org/entity/q26381,"['http://www.wikidata.org/entity/q5113', 'http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240']","['http://www.wikidata.org/entity/q183364', 'http://www.wikidata.org/entity/q186334', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921']",,"['great lizard cuckoo', 'cuban lizard-cuckoo']",,,http://www.wikidata.org/entity/q211005,great lizard cuckoo,cuculidae,"['bird', 'reptilia', 'dipnotetrapodomorpha']","['cuculiformes', 'saurischia', 'dinosaur', 'avetheropoda']",,,least concern
http://www.wikidata.org/entity/q18928,http://www.wikidata.org/entity/q185230,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q7377']",http://www.wikidata.org/entity/q28425,,seychelles flying fox,,http://www.wikidata.org/entity/q1042,http://www.wikidata.org/entity/q211005,pteropus seychellensis,pteropodidae,"['dipnotetrapodomorpha', 'mammal']",chiroptera,,seychelles,least concern
http://www.wikidata.org/entity/q18929,http://www.wikidata.org/entity/q185230,"['http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q7377']",http://www.wikidata.org/entity/q28425,,"['malagasy flying fox', 'madagascan flying fox', 'madagascar flying-fox', 'madagascar fruit bat']",,,http://www.wikidata.org/entity/q278113,pteropus rufus,pteropodidae,"['dipnotetrapodomorpha', 'mammal']",chiroptera,,,vulnerable
http://www.wikidata.org/entity/q18956,http://www.wikidata.org/entity/q26381,"['http://www.wikidata.org/entity/q10811', 'http://www.wikidata.org/entity/q23809240', 'http://www.wikidata.org/entity/q5113']","['http://www.wikidata.org/entity/q183364', 'http://www.wikidata.org/entity/q430', 'http://www.wikidata.org/entity/q138921', 'http://www.wikidata.org/entity/q186334']",,"['african emerald cuckoo', 'emerald cuckoo']",,,http://www.wikidata.org/entity/q211005,african emerald cuckoo,cuculidae,"['reptilia', 'dipnotetrapodomorpha', 'bird']","['cuculiformes', 'dinosaur', 'avetheropoda', 'saurischia']",,,least concern
